Schulnummer;Kurzbezeichnung;Bezirksregierung;Kreis;Gemeinde;Sozialindexstufe
100085;Duisburg, GE Green-Gesamtschule;BR Dsseldorf;Stadt Duisburg;Duisburg;0
100088;Velbert, GG Kastanienallee;BR Dsseldorf;Kreis Mettmann;Velbert;0
100089;Bornheim, GE Bornheim 2;BR K��Rhein-Sieg-Kreis;Bornheim;0;
100090;Essen, RS Kettwig;BR Dsseldorf;Stadt Essen;Essen;0
100091;Ldenscheid, GG Ida Gerhardi;BR Arnsberg;M䲫ischen Kreis;Ldenscheid;0
100092;Dsseldorf, KG Rather Kreuzweg;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;6
100093;Beckum, GG Grundschule Mitte;BR Mnster;Kreis Warendorf;Beckum;0
100094;Dorsten, GG Bonifatiusschule;BR Mnster;Kreis Recklinghausen;Dorsten;0
100096;R��th, GE R��th;BR K��Rheinisch-Bergischen Kreis;R��th;0;
100098;Ahlen, GE Sedanstr.;BR Mnster;Kreis Warendorf;Ahlen;0
100103;Rheinberg, GE Europaschule Rheinberg;BR Dsseldorf;Kreis Wesel;Rheinberg;0
100104;Neuenrade, SK H��quellschule;BR Arnsberg;M䲫ischen Kreis;Neuenrade;0
100107;Morsbach SK Leonardo-da-Vinci;BR K��Oberbergischen Kreis;Morsbach;0;
100108;Kalletal, SK Jacobischule;BR Detmold;Kreis Lippe;Kalletal;0
100109;Dsseldorf, KG Marienschule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;2
100111;Langenberg, SK Konrad-Zuse;BR Detmold;Kreis Gtersloh;Langenberg;0
100112;Ascheberg, SK Bahnhofsweg;BR Mnster;Kreis Coesfeld;Ascheberg;0
100115;Recklinghausen, GG Cornelia Funke Schule;BR Mnster;Kreis Recklinghausen;Recklinghausen;0
100116;Herne, GG Galileo-Schule;BR Arnsberg;Stadt Herne;Herne;0
100119;Herscheid, GG Rahlenberg;BR Arnsberg;M䲫ischen Kreis;Herscheid;0
100122;Dsseldorf, KG Hermann Gmeiner Schule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;4
100125;Neuenkirchen, GE Emmy-Noether;BR Mnster;Kreis Steinfurt;Neuenkirchen;0
100126;Castrop-Rauxel, GE Gesamtsch.Ickern;BR Mnster;Kreis Recklinghausen;Castrop-Rauxel;0
100128;Krefeld, GG Vulkanstraߥ;BR Dsseldorf;Stadt Krefeld;Krefeld;0
100129;Swisttal, GE Swisttal;BR K��Rhein-Sieg-Kreis;Swisttal;0;
100130;Minden, SK Am Wiehen;BR Detmold;Kreis Minden-Lbbecke;Minden;0
100131;Mettmann, GE Borner Weg;BR Dsseldorf;Kreis Mettmann;Mettmann;0
100132;Dortmund, GE Reinoldi-Gesamtschule;BR Arnsberg;Stadt Dortmund;Dortmund;0
100135;Gelsenkirchen, GG an der Ebersteinstraߥ;BR Mnster;Stadt Gelsenkirchen;Gelsenkirchen;0
100137;Krefeld, GG Felbelstraߥ;BR Dsseldorf;Stadt Krefeld;Krefeld;0
100143;Monheim, GG Bregenzer Straߥ;BR Dsseldorf;Kreis Mettmann;Monheim;0
100144;Monheim, GG Im Pfingsterfeld;BR Dsseldorf;Kreis Mettmann;Monheim;0
100145;K�� Gym Zusestraߥ;BR K��Stadt K��K��0;;;
100147;K�� Gym Aachener Straߥ;BR K��Stadt K��K��0;;;
100148;Bergheim, GG Hermann-Gmeiner-Schule;BR K��Rhein-Erft-Kreis;Bergheim;0;
100149;Bergheim, GG Odilia-Weidenfeld;BR K��Rhein-Erft-Kreis;Bergheim;0;
100153;Witten, GE Otto-Schott-Gesamtschule;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;0
100158;Dsseldorf, KG Josef-Kleesattel-Str.;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;4
100160;Dsseldorf, GG Kaiserswerth;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;3
100171;Dsseldorf, KG Unter den Eichen;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;2
100183;Dsseldorf, KG Christophorus;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;3
100213;Dsseldorf, GG Henri-Dunant-Schule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;3
100225;Dsseldorf, GG Bingener Weg;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;4
100237;Dsseldorf, GG Gumbertstr.;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;5
100250;Dsseldorf, KG St. -Peter;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;5
100262;Dsseldorf, KG St. Michael Schule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;6
100274;Dsseldorf, KG Franz-Boehm-Schule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;3
100286;Dsseldorf, KG St. Apollinaris Schule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;2
100298;Dsseldorf, KG Lohausen;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;2
100304;Dsseldorf, KG Mettmanner Straߥ;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;7
100316;Dsseldorf, KG H��str.;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;6
100328;Dsseldorf, GG Gutenberg Schule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;1
100330;Dsseldorf, GG Urdenbach;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;1
100365;Dsseldorf, GG Volker-Rosin-Schule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;2
100389;Dsseldorf, GG Deutzer Str.;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;4
100390;Dsseldorf, GG Am K��n;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;8
100420;Dsseldorf, KG Carl Sonnenschein Schule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;3
100432;Dsseldorf, KG St.Bruno-Schule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;2
100444;Dsseldorf, KG Paul-Klee-Schule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;6
100468;Dsseldorf, KG Fuldaer Str.;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;2
100470;Dsseldorf, GG Flurstr.;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;5
100481;Dsseldorf, KG Florensstraߥ;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;1
100493;Dsseldorf, KG Fleher Schule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;2
100500;Dsseldorf, KG Bonifatiusschule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;1
100523;Dsseldorf, KG St. Franziskus Schule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;3
100535;Dsseldorf, KG Essener Str.;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;3
100547;Dsseldorf, KG St. C䣩lia Schule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;2
100560;Dsseldorf, KG Einsiedelstr.;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;3
100572;Dsseldorf, KG Max-Schule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;1
100584;Dsseldorf, KG St. Elisabeth Schule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;6
100596;Dsseldorf, KG St. Rochus-Schule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;2
100602;Dsseldorf, KG Thomas-Schule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;5
100638;Dsseldorf, GG Montessori-Schule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;2
100651;Dsseldorf, GG Adolf-Klarenbach;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;4
100663;Dsseldorf, GG Beedstr.;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;2
100675;Dsseldorf, GG Selma-Lagerl��R Dsseldorf;Stadt Dsseldorf;Dsseldorf;3;
100687;Dsseldorf, EG Friedrich-v.Bodelschwingh;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;1
100699;Dsseldorf, GG Joachim Neander;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;4
100705;Dsseldorf, EG Brehm Schule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;2
100717;Dsseldorf, EG Elsa-Brandstr��chule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;2
100730;Dsseldorf, EG Martin-Luther-Schule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;3
100742;Dsseldorf, GG Matthias-Claudius-Schule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;3
100754;Dsseldorf, EG Hanna-Zrndorfer-Schule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;1
100766;Dsseldorf, GG Beckbusch-Schule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;2
100778;Dsseldorf, GG Wickrather Str.;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;3
100780;Dsseldorf, GG Vennhauser Allee;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;3
100791;Dsseldorf, GG Sdallee;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;2
100808;Dsseldorf, GG Sonnenstr.;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;6
100810;Dsseldorf, GG Konkordiastr.;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;2
100821;Dsseldorf, GG Don-Bosco-Montessori-Schu;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;3
100833;Dsseldorf, GG Rolandstr.;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;4
100845;Dsseldorf, GG Richardstr.;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;5
100869;Dsseldorf, GG Wrangelstraߥ;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;6
100870;Dsseldorf, GG Neustrelitzer Str.;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;5
100882;Dsseldorf, GG Schloss Benrath;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;3
100894;Dsseldorf, GG Max-Halbe-Straߥ;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;5
100900;Dsseldorf, GG Theodor-Heuss-Schule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;5
100924;Dsseldorf, GG Astrid-Lindgren-Schule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;4
100936;Dsseldorf, GG Lennestr.;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;4
100950;Dsseldorf, GG Krahnenburgstraߥ;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;4
100961;Dsseldorf, GG Kronprinzenstr.;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;1
100973;Dsseldorf, GG Regenbogenschule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;6
100985;Dsseldorf, GG Sternwartschule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;2
101000;Dsseldorf, GG Ferdinand-Heye-Schule;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;5
101011;Dsseldorf, GG Stoffeler Straߥ;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;5
101023;Dsseldorf, GG (Verb.) Heinrich-Heine;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;4
101047;Dsseldorf, GG Helmholtzstr.;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;6
101059;Dsseldorf, GG Adam-Stegerwald-Str.;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;4
101060;Dsseldorf, GG Willi F䨲mann;BR Dsseldorf;Stadt Dsseldorf;Dsseldorf;4
101072;Duisburg, GG am R��ersbach;BR Dsseldorf;Stadt Duisburg;Duisburg;3
101084;Duisburg, GG Hans-Christian-Andersen;BR Dsseldorf;Stadt Duisburg;Duisburg;7
101126;Duisburg, KG am Bergmannsplatz;BR Dsseldorf;Stadt Duisburg;Duisburg;3
101138;Duisburg, KG F䨲mann;BR Dsseldorf;Stadt Duisburg;Duisburg;3
101140;Duisburg, KG Nombericher Str.;BR Dsseldorf;Stadt Duisburg;Duisburg;4
101151;Duisburg, GG Friedenstr.;BR Dsseldorf;Stadt Duisburg;Duisburg;8
101163;Duisburg, KG B��r Str.;BR Dsseldorf;Stadt Duisburg;Duisburg;1
101205;Duisburg, GG Schule im Dichterviertel;BR Dsseldorf;Stadt Duisburg;Duisburg;7
101217;Duisburg, KG Abteischule;BR Dsseldorf;Stadt Duisburg;Duisburg;5
101242;Duisburg, KG Goldstr.;BR Dsseldorf;Stadt Duisburg;Duisburg;5
101254;Duisburg, KG Henriettenstr.;BR Dsseldorf;Stadt Duisburg;Duisburg;9
101266;Duisburg, KG Barbara;BR Dsseldorf;Stadt Duisburg;Duisburg;4
101291;Duisburg, KG Grabenstr.;BR Dsseldorf;Stadt Duisburg;Duisburg;2
101321;Duisburg, GG Rahm;BR Dsseldorf;Stadt Duisburg;Duisburg;1
101333;Duisburg, GG Tonstr.;BR Dsseldorf;Stadt Duisburg;Duisburg;3
101357;Duisburg, GG Zoppenbrckstr.;BR Dsseldorf;Stadt Duisburg;Duisburg;4
101369;Duisburg, GG Wrangelstr.;BR Dsseldorf;Stadt Duisburg;Duisburg;6
101370;Duisburg, GG Am Mattlerbusch;BR Dsseldorf;Stadt Duisburg;Duisburg;3
101382;Duisburg, GG Schule am Park;BR Dsseldorf;Stadt Duisburg;Duisburg;3
101394;Duisburg, GG Heinr.-Bongers-Str.;BR Dsseldorf;Stadt Duisburg;Duisburg;4
101400;Duisburg, GG Hochfelder Markt;BR Dsseldorf;Stadt Duisburg;Duisburg;7
101412;Duisburg, GG Bruckhausen;BR Dsseldorf;Stadt Duisburg;Duisburg;7
101424;Duisburg, GG Sandstr.;BR Dsseldorf;Stadt Duisburg;Duisburg;9
101436;Duisburg, GG Salzmannschule;BR Dsseldorf;Stadt Duisburg;Duisburg;5
101448;Duisburg, GG Lange Kamp;BR Dsseldorf;Stadt Duisburg;Duisburg;6
101473;Duisburg, GG B��r Str.;BR Dsseldorf;Stadt Duisburg;Duisburg;2
101485;Duisburg, GG Mozartstr.;BR Dsseldorf;Stadt Duisburg;Duisburg;2
101503;Duisburg, GG Lilienthalstr.;BR Dsseldorf;Stadt Duisburg;Duisburg;4
101515;Duisburg, GG Klosterstr.;BR Dsseldorf;Stadt Duisburg;Duisburg;6
101527;Duisburg, GG Hundertwasser-Schule;BR Dsseldorf;Stadt Duisburg;Duisburg;7
101540;Duisburg, GG Humboldtstr.;BR Dsseldorf;Stadt Duisburg;Duisburg;4
101552;Duisburg, GG Ruhrort;BR Dsseldorf;Stadt Duisburg;Duisburg;4
101564;Duisburg, GG Brckenstr.;BR Dsseldorf;Stadt Duisburg;Duisburg;9
101576;Duisburg, GG Hermann-Grothe-Str.;BR Dsseldorf;Stadt Duisburg;Duisburg;1
101588;Duisburg, GG Beeckerwerth;BR Dsseldorf;Stadt Duisburg;Duisburg;2
101606;Duisburg, GG Hebbelstr.;BR Dsseldorf;Stadt Duisburg;Duisburg;5
101618;Duisburg, GG Habichtstr.;BR Dsseldorf;Stadt Duisburg;Duisburg;3
101620;Duisburg, GG Groߥnbaumer Allee;BR Dsseldorf;Stadt Duisburg;Duisburg;2
101631;Duisburg, GG Kunterbunt;BR Dsseldorf;Stadt Duisburg;Duisburg;7
101643;Duisburg, GG Regenbogenschule;BR Dsseldorf;Stadt Duisburg;Duisburg;7
101655;Duisburg, GG Gartenstraߥ;BR Dsseldorf;Stadt Duisburg;Duisburg;6
101667;Duisburg, GG Laar;BR Dsseldorf;Stadt Duisburg;Duisburg;6
101679;Duisburg, GG Eschenstr.;BR Dsseldorf;Stadt Duisburg;Duisburg;6
101692;Duisburg, GG Otfried-Preu߬er;BR Dsseldorf;Stadt Duisburg;Duisburg;4
101709;Duisburg, GG Breite Str.;BR Dsseldorf;Stadt Duisburg;Duisburg;6
101710;Duisburg, GG Berg;BR Dsseldorf;Stadt Duisburg;Duisburg;3
101722;Duisburg, GG Am See;BR Dsseldorf;Stadt Duisburg;Duisburg;2
101734;Duisburg, GG Wanheim;BR Dsseldorf;Stadt Duisburg;Duisburg;6
101746;Duisburg, GG Albert-Schweitzer-Str.;BR Dsseldorf;Stadt Duisburg;Duisburg;2
101771;Essen, KG Antoniusschule;BR Dsseldorf;Stadt Essen;Essen;3
101801;Essen, KG Bischof-von-Ketteler-Schule;BR Dsseldorf;Stadt Essen;Essen;5
101813;Essen, KG Christophorusschule;BR Dsseldorf;Stadt Essen;Essen;5
101837;Essen, KG Dionysiusschule;BR Dsseldorf;Stadt Essen;Essen;3
101850;Essen, KG Laurentiusschule;BR Dsseldorf;Stadt Essen;Essen;2
101886;Essen, KG Nikolaus;BR Dsseldorf;Stadt Essen;Essen;3
101898;Essen, KG Johann-Michael-Sailer-Schule;BR Dsseldorf;Stadt Essen;Essen;2
101904;Essen, GG Bedingrade/ Sch��eck;BR Dsseldorf;Stadt Essen;Essen;2
101916;Essen, GG Astrid Lindgren;BR Dsseldorf;Stadt Essen;Essen;6
101930;Essen, KG Mnsterschule;BR Dsseldorf;Stadt Essen;Essen;6
101941;Essen, KG Winfried;BR Dsseldorf;Stadt Essen;Essen;3
102003;Essen, KG (Verb.) Eichendorffschule;BR Dsseldorf;Stadt Essen;Essen;2
102015;Essen, GG Heinrich-Strunk-Str.;BR Dsseldorf;Stadt Essen;Essen;6
102027;Essen, KG Georg;BR Dsseldorf;Stadt Essen;Essen;1
102040;Essen, KG Elisabeth;BR Dsseldorf;Stadt Essen;Essen;2
102052;Essen, GG Groߥnbruch;BR Dsseldorf;Stadt Essen;Essen;6
102064;Essen, GG Nordviertel;BR Dsseldorf;Stadt Essen;Essen;7
102076;Essen, KG Altfried;BR Dsseldorf;Stadt Essen;Essen;3
102088;Essen, KG Zollvereinschule;BR Dsseldorf;Stadt Essen;Essen;3
102106;Essen, GG Gerschede;BR Dsseldorf;Stadt Essen;Essen;2
102118;Essen, KG Am Krausen B䵭chen;BR Dsseldorf;Stadt Essen;Essen;2
102120;Essen, KG Josef/ Horst;BR Dsseldorf;Stadt Essen;Essen;3
102143;Essen, KG Josef/ Kupferdreh;BR Dsseldorf;Stadt Essen;Essen;1
102155;Essen, GG Bckmannshofschule;BR Dsseldorf;Stadt Essen;Essen;4
102179;Essen, KG Cosmas u. Damian;BR Dsseldorf;Stadt Essen;Essen;4
102180;Essen, KG Bardeleben;BR Dsseldorf;Stadt Essen;Essen;3
102210;Essen, GG Hinseler Schule;BR Dsseldorf;Stadt Essen;Essen;1
102234;Essen, GG Schlossschule;BR Dsseldorf;Stadt Essen;Essen;2
102246;Essen, GG Schiller;BR Dsseldorf;Stadt Essen;Essen;4
102258;Essen, GG Bergmhlen;BR Dsseldorf;Stadt Essen;Essen;7
102260;Essen, GG an der Rahmstraߥ;BR Dsseldorf;Stadt Essen;Essen;6
102271;Essen, GG Meisenburg;BR Dsseldorf;Stadt Essen;Essen;1
102283;Essen, GG Bonifacius;BR Dsseldorf;Stadt Essen;Essen;2
102295;Essen, GG Kantschule;BR Dsseldorf;Stadt Essen;Essen;6
102301;Essen, GG Jacobsallee;BR Dsseldorf;Stadt Essen;Essen;1
102362;Essen, GG Bodelschwinghschule;BR Dsseldorf;Stadt Essen;Essen;7
102386;Essen, GG Stadthafen;BR Dsseldorf;Stadt Essen;Essen;5
102398;Essen, EG Theodor-Heuss;BR Dsseldorf;Stadt Essen;Essen;2
102404;Essen, GG Drer;BR Dsseldorf;Stadt Essen;Essen;5
102416;Essen, EG K䴨e-Kollwitz-Schule;BR Dsseldorf;Stadt Essen;Essen;2
102430;Essen, GG Fischlaker Schule;BR Dsseldorf;Stadt Essen;Essen;2
102453;Essen, GG Peter-Ustinov-Schule;BR Dsseldorf;Stadt Essen;Essen;6
102465;Essen, GG H��ng;BR Dsseldorf;Stadt Essen;Essen;5
102489;Essen, GG an der Waldlehne;BR Dsseldorf;Stadt Essen;Essen;2
102490;Essen, KG Andreasschule;BR Dsseldorf;Stadt Essen;Essen;2
102507;Essen, GG Viktoriastr.;BR Dsseldorf;Stadt Essen;Essen;6
102519;Essen, GG Tuttmann;BR Dsseldorf;Stadt Essen;Essen;5
102520;Essen, GG Schwanenbuschstr.;BR Dsseldorf;Stadt Essen;Essen;6
102532;Essen, GG Carl-Funke;BR Dsseldorf;Stadt Essen;Essen;1
102544;Essen, GG Cranach;BR Dsseldorf;Stadt Essen;Essen;5
102556;Essen, GG am Reuenberg;BR Dsseldorf;Stadt Essen;Essen;4
102570;Essen, GG Herder;BR Dsseldorf;Stadt Essen;Essen;2
102600;Essen, GG Ardey;BR Dsseldorf;Stadt Essen;Essen;2
102623;Essen, GG Morungenweg;BR Dsseldorf;Stadt Essen;Essen;4
102635;Essen, GG Maria-Kunigunda;BR Dsseldorf;Stadt Essen;Essen;5
102647;Essen, GG Montessorischule am L��erg;BR Dsseldorf;Stadt Essen;Essen;1
102659;Essen, GG Karlschule;BR Dsseldorf;Stadt Essen;Essen;5
102660;Essen, GG Stifts;BR Dsseldorf;Stadt Essen;Essen;1
102672;Essen, GG Neuessener;BR Dsseldorf;Stadt Essen;Essen;6
102696;Essen, GG Leither;BR Dsseldorf;Stadt Essen;Essen;3
102702;Essen, GG Frieden;BR Dsseldorf;Stadt Essen;Essen;6
102714;Essen, GG Ludgerusschule;BR Dsseldorf;Stadt Essen;Essen;2
102726;Essen, GG Heckerschule;BR Dsseldorf;Stadt Essen;Essen;1
102738;Essen, GG Joachimschule;BR Dsseldorf;Stadt Essen;Essen;7
102740;Essen, GG Im Steeler Rott;BR Dsseldorf;Stadt Essen;Essen;5
102751;Essen, GG Httmann;BR Dsseldorf;Stadt Essen;Essen;7
102763;Essen, GG H��schule;BR Dsseldorf;Stadt Essen;Essen;7
102775;Essen, GG Adolf-Reichwein-Schule;BR Dsseldorf;Stadt Essen;Essen;4
102787;Essen, GG Heinickestr.;BR Dsseldorf;Stadt Essen;Essen;6
102799;Essen, GG Graf-Spee-Schule;BR Dsseldorf;Stadt Essen;Essen;2
102805;Essen, GG Gervinus;BR Dsseldorf;Stadt Essen;Essen;6
102829;Essen, GG Hinsbeckschule;BR Dsseldorf;Stadt Essen;Essen;1
102830;Essen, GG Berliner Schule;BR Dsseldorf;Stadt Essen;Essen;8
102842;Essen, GG Kraienbruchschule;BR Dsseldorf;Stadt Essen;Essen;4
102866;Essen, GG im Bergmannsfeld;BR Dsseldorf;Stadt Essen;Essen;7
102878;Essen, GG Burgaltendorf;BR Dsseldorf;Stadt Essen;Essen;1
102880;Krefeld, GG Schule an Haus Rath;BR Dsseldorf;Stadt Krefeld;Krefeld;2
102891;Krefeld, KG Edith-Stein-Schule;BR Dsseldorf;Stadt Krefeld;Krefeld;2
102908;Krefeld, KG Sollbrggenschule;BR Dsseldorf;Stadt Krefeld;Krefeld;2
102921;Krefeld, KG K��shof;BR Dsseldorf;Stadt Krefeld;Krefeld;2
102945;Krefeld, KG Josefschule;BR Dsseldorf;Stadt Krefeld;Krefeld;5
102957;Krefeld, GG St. Michael Schule;BR Dsseldorf;Stadt Krefeld;Krefeld;1
102970;Krefeld, GG Sch��sserschule;BR Dsseldorf;Stadt Krefeld;Krefeld;3
102982;Krefeld, GG Johansenschule;BR Dsseldorf;Stadt Krefeld;Krefeld;3
102994;Krefeld, GG Jahnschule;BR Dsseldorf;Stadt Krefeld;Krefeld;4
103020;Krefeld, GG Mosaikschule;BR Dsseldorf;Stadt Krefeld;Krefeld;6
103068;Krefeld, GG am Stadtpark Fischeln;BR Dsseldorf;Stadt Krefeld;Krefeld;4
103070;Krefeld, GG Mariannenschule;BR Dsseldorf;Stadt Krefeld;Krefeld;6
103081;Krefeld, GG Buscher Holzweg;BR Dsseldorf;Stadt Krefeld;Krefeld;1
